도서명,부제,저자,출판사,정가,판매가,판매지수,리뷰수,평점,수집일시
이게 되네? 제미나이 완전 미친 활용법 81제,"나노바나나, 노트북LM, 오팔, Veo, Flow까지, 진짜 실무에서 쓰는 Gemini 최강 활용법! 할 일, 조직 관리, 협업, AI 메모, AI 회의",오힘찬,골든래빗,24000,21600,78393,153,9.9,2026-04-29 14:49:26
혼자 공부하는 바이브 코딩 with 클로드 코드,AI와 1:1 대화하며 배우는 첫 코딩 자습서,조태호,한빛미디어,30000,27000,63549,156,9.9,2026-04-29 14:49:26
클로드 코드 마스터,기획·개발·운영이 한 번에 끝나는 AI 에이전틱 코딩 워크플로,이남희,한빛미디어,36000,32400,9036,6,10.0,2026-04-29 14:49:26
클로드 코드를 활용한 바이브 코딩 완벽 입문,"기본 사용법부터 MCP, 병렬 처리, 서브에이전트, 보안 설계와 응용 활용법까지",히라카와 토모히데,위키북스,26000,23400,24705,4,10.0,2026-04-29 14:49:26
"AI 시대의 질문력, 프롬프트 엔지니어링",,류한석,코리아닷컴(Korea.com),27000,24300,68709,59,9.5,2026-04-29 14:49:26
"클로드 코워크 with 스킬, 플러그인",퇴근을 앞당기는 완벽한 업무 자동화,클리커,한빛미디어,26000,23400,16698,18,9.1,2026-04-29 14:49:26
"오픈클로 with GPT, 제미나이, 클로드",내 컴퓨터에서 일하는 AI 집사,강민혁,한빛미디어,22000,19800,17136,21,9.6,2026-04-29 14:49:26
진짜 쓰는 실무 엑셀,"유튜브 대표 엑셀 채널, 오빠두가 알려 주는 엑셀 함수, 보고서 작성, 데이터 분석 노하우!",전진권,제이펍,21000,18900,78045,388,9.8,2026-04-29 14:49:26
바쁜 교사를 위한 바로 쓰는 AI,"수업 설계부터 학생 평가, 행정 업무까지! AI로 완성하는 실무 활용법",전소영,사회평론아카데미,24000,21600,11298,14,10.0,2026-04-29 14:49:26
AI 에이전트 엔지니어링,"단일 에이전트부터 멀티 에이전트 시스템까지, AI 앱 개발 올인원 가이드",마이클 알바다,한빛미디어,32000,28800,13407,16,9.5,2026-04-29 14:49:26
요즘 바이브 코딩 안티그래비티 완벽 가이드,"구글 AI, 제미나이, 스티치, 프롬프트 엔지니어링, 인공지능 에이전트, RAG, 프론트엔드, PRD, TDD, 클린 아키텍처, 리팩터링, 챗봇, 블로그, 랜딩 페이지 더 빠르고 더 견고한 프로그램을 만드는 원리와 방법",최지호,골든래빗,28000,25200,20901,22,9.9,2026-04-29 14:49:26
학교에서 바로 쓰는 제미나이 & 노트북LM,교사 업무를 덜어 주는 AI 활용법,손성호,학교도서관저널,19000,17100,8862,11,10.0,2026-04-29 14:49:26
된다! 하루 만에 끝내는 제미나이 활용법,"보고서, 이미지 생성 등 70가지 예제 수록! 노트북LM, 구글 AI 스튜디오, 나노 바나나를 한 권에!",권서림,이지스퍼블리싱,20000,18000,74844,77,9.8,2026-04-29 14:49:26
바이브 코더를 위한 최소한의 AI/IT 지식,‘이게 왜 되지?’ 개발 안 해본 개발자의 난생처음 바이브 코딩 입문서,클리커,한빛미디어,22000,19800,2634,24,10.0,2026-04-29 14:49:26
한눈에 보는 AI 반도체 산업,,MrTrigger,한빛미디어,26000,23400,7134,137,10.0,2026-04-29 14:49:26
세컨드 브레인은 옵시디언 with 클로드 코드,"입문자를 위한 기초 사용법부터 마크다운, 플러그인, PARA, 제텔카스텐, MCP, 옵시디언 CLI, 스킬, AI 활용까지!",시안,골든래빗,25000,23750,6402,26,9.7,2026-04-29 14:49:26
AI 실전 마스터 칼릭스의 프롬프트 디테일,"크리에이티브 프레임워크, 워크플로우, AI 에이전트, 바이브코딩, 기획부터 코딩까지 바로 써먹는 기적의 프롬프트 템플릿",칼릭스(손윤석),한빛비즈,22000,19800,2640,1,10.0,2026-04-29 14:49:26
질문으로 답을 찾는 인공지능 윤리 수업,,박형빈,한언,21000,18900,8961,11,9.8,2026-04-29 14:49:26
요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기,"인공지능 코딩, 부업, 수익화, 파이프 라인, 파이썬, 매크로, 엑셀 자동화, 깃허브, 웹 크롤링, API 연동, 커서 룰, CLAUDE.MD, 크몽 생존 전략, 견적 산정, 고객 응대 기술 누적 수익 5천! 비전공자 40대 차장의 AI",불혹코딩,골든래빗,26000,23400,2568,1,10.0,2026-04-29 14:49:26
이게 되네? 오픈클로 미친 활용법 50제,"AI 에이전트, 자동화, 크롤링, 이메일, 캘린더, 카카오톡, PPT, 한글 문서, 옵시디언, 데이터 분석, SNS, 블로그, AI 전화까지 코딩 없이 50가지 업무를 자동화하는 스마트폰 속 나만의 AI 비서 실전 가이드",한준구,골든래빗,24000,21600,6459,0,0.0,2026-04-29 14:49:26
요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정,"챗GPT·블루킷·젭퀴즈·노션·캔바·구글 시트까지, 요즘 교실에 꼭 필요한 에듀테크 활용법",박진환,한빛미디어,24000,21600,6429,122,9.9,2026-04-29 14:49:26
Do it! 점프 투 파이썬,중학생도 첫날부터 실습하는 초고속 입문서,박응용,이지스퍼블리싱,22000,19800,46341,143,9.7,2026-04-29 14:49:26
만들면서 배우는 AI 에이전트 개발 입문+실전,"랭그래프로 완성하는 단계별 싱글·멀티 에이전트 시스템, LLM 라우팅부터 MCP와 A2A 실전 구현까지",박나연(공원나연),한빛미디어,37000,33300,1704,0,0.0,2026-04-29 14:49:26
요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"챗GPT부터 캔바, 구글 스프레드시트, API 연동까지",박진환,한빛미디어,20000,18000,94320,65,9.8,2026-04-29 14:49:26
제미나이 교사 마스터 플랜 (2026년 최신판),"구글공인트레이너 교사의 AI 수업_나노 바나나, 노트북LM, 구글 AI 스튜디오, 캔바 코드, 바이브 코딩, 앱스 스크립트",한민철,책바세,30000,27000,5403,26,10.0,2026-04-29 14:49:27
옵시디언 프로페셔널 노트,플러그인과 AI로 확장하는 지식 관리 워크플로,구요한,리코멘드,25000,22500,8370,31,9.9,2026-04-29 14:49:27
AI 에이전트 개발 완벽 입문,"에이전트 기초부터 RAG, ReAct, 펑션 콜링, 랭그래프, CrewAI, smolagents, A2A, n8n, MCP, 클로드 코드, 오픈클로까지 실전 에이전트 개발을 위한 모든 것",에디 유,위키북스,42000,37800,1944,21,10.0,2026-04-29 14:49:27
자연은 왜 이토록 단순하면서도 아름다운가,현대 물리학이 밝혀낸 세계의 질서,로버트 칸,알에이치코리아(RHK),35000,31500,3114,10,10.0,2026-04-29 14:49:27
진짜 쓰는 프리미어 프로 영상 편집 2025,유튜브 및 SNS 콘텐츠 제작을 위한 동영상 편집 실무 강의,조블리,제이펍,26000,23400,22728,56,9.7,2026-04-29 14:49:27
딸깍! 바이브 코딩 by 안티그래비티,5분 만에 만드는 업무용 웹 애플리케이션! 45가지 속성 레시피,반병현,생능북스,25000,22500,3387,18,9.8,2026-04-29 14:49:27
수업과 업무에 바로 적용하는 생성형 AI 활용 58제,"챗GPT, 제미나이, 클로드, 노트북LM, 바이브코딩, 수업활용, 업무자동화, 교육용AI챗봇 / 수업 준비, 평가, 학급운영, 행정업무, 지식시스템 구축하기 까지",임세범,앤써북,18800,16920,3537,7,9.7,2026-04-29 14:49:27
누구나 아는 나만 모르는 제미나이,"세상에서 가장 쉬운 제미나이 & AI 입문서 | Gemini, 구글 워크스페이스, Gems, 노트북LM, 나노바나나 프로, 구글 AI 스튜디오, Veo 3.1, 믹스보드",이성원,한빛미디어,19000,17100,14301,42,9.6,2026-04-29 14:49:27
바로 배워서 바로 써먹는 바이브 코딩,"캔바, 구글 앱스크립트, 파이어베이스, 러버블까지, 웹 앱 개발 도구를 활용한 AI 융합 교육 가이드",박찬,다빈치books,22000,19800,21408,43,10.0,2026-04-29 14:49:27
"애플, 파괴적 혁신의 시작","세상을 뒤바꾼 개인용 컴퓨터와 소프트웨어 혁명, 그 뜻밖의 순간들",레인 누니,책만,26000,23400,1020,1,10.0,2026-04-29 14:49:27
그림으로 배우는 생성형 AI,생성형 AI의 구조와 동작 방식 이해부터 애플리케이션 설계와 에이전트까지,프리양카 베르가디아,한빛미디어,33000,29700,1596,0,0.0,2026-04-29 14:49:27
요즘 바이브 코딩 클로드 코드 완벽 가이드,"요금제 선택, CLAUDE.md, Opus, Sonnet, 모델 선택, MCP, PRD, 깃허브 워크플로, UI 프로토타이핑, 인증 구현, 슬래시 커맨드, supabase 연동, 테스트, 배포, 슈퍼 클로드, ccusage, 클로디아 느낌이 좋은 프로그램",최지호,골든래빗,24000,21600,29517,18,8.4,2026-04-29 14:49:27
소프트웨어 사고력 올림피아드,SW사고력올림피아드 사무국 지정 공식 교재,구덕회,잇플ITPLE,28500,25650,4326,7,8.6,2026-04-29 14:49:27
처음 만나는 AI 에이전트 with 랭체인 & MCP,"랭체인 기반 RAG 실습부터 랭그래프와 CrewAI 멀티 에이전트 설계, FastAPI 기반 MCP 서버 구축까지",김재엽,제이펍,30000,27000,2436,0,0.0,2026-04-29 14:49:27
요즘 바이브 코딩 코덱스 완벽 가이드,"인공지능 코딩, AI 에이전트, 프롬프트 엔지니어링, 컨텍스트 엔지니어링, AGENTS.md, PRD, 코덱스 클라우드, 수파베이스, Spec Kit 워크플로, 토큰 최적화, 배포, v0, 스킬, 고급 사용법, 오픈라우터",윤재원,골든래빗,28000,25200,4197,33,9.9,2026-04-29 14:49:27
스토리 엔지니어링,모든 장르에 활용 가능한 AI 콘텐츠 전략,김우정,생능북스,16800,15120,960,3,10.0,2026-04-29 14:49:27
밑바닥부터 만들면서 배우는 LLM,GPT를 내 손으로 직접 단계별로 만들어보면서 대규모 언어 모델의 기본기를 탄탄히 채우기,세바스찬 라시카,길벗,40000,36000,11712,27,9.6,2026-04-29 14:49:27
"AI 리터러시 플러스+: 인공지능 기본부터 도구 선택, 조합, 실전 활용까지",AI 나만 못 쓰나? 지금도 Q&A에 멈춰 있는 당신에게,김용성,프리렉,25000,22500,1752,187,9.6,2026-04-29 14:49:27
피지컬 AI와 에이전틱 AI가 바꾸는 미래,AI가 몸을 갖는 순간,권오형,미디어북,20000,20000,1164,12,10.0,2026-04-29 14:49:27
회사에서 바로 통하는 엑셀 FOR STARTERS,왕초보가 시작하는 엑셀 입문서,전미진,한빛미디어,17000,15300,7884,26,9.8,2026-04-29 14:49:27
AI 엔지니어링,"파운데이션 모델을 활용한 시스템 설계부터 개선까지, AI 앱 개발 원스톱 가이드",칩 후옌,한빛미디어,40000,36000,14634,15,9.9,2026-04-29 14:49:27
혼자 공부하는 컴퓨터 구조+운영체제,,강민철,한빛미디어,28000,25200,14379,118,9.8,2026-04-29 14:49:27
AI 자율학습 제미나이로 일 잘하는 법,"기획, 마케팅, 디자인, 영업/CS, 인사/교육 직무별 활용 사례, 나노 바나나, 비오, 리리아, 딥 리서치, 캔버스, Gems, NotebookLM, Flow, 구글 AI 스튜디오를 한 권에!",성구(강성규),길벗,26000,23400,4368,44,9.8,2026-04-29 14:49:27
"된다! 제미나이, 클로드, 챗GPT AI 챗봇 만들기",,이재윤,이지스퍼블리싱,21000,18900,6561,14,9.7,2026-04-29 14:49:27
요즘 교실 혁신의 공식 AI·에듀테크 활용법 with 2022 개정 교육과정,"바로 쓸 수 있는 실제 활용법 : 투닝, 캔바, 제미나이, 에듀테크, 수업용AI, 학년별AI, 수업·업무 자동화 활용, 사회정서학습, 디지털 문해력",진제헌,앤써북,23300,20970,2040,4,10.0,2026-04-29 14:49:30
된다! AI 상위 노출,"챗GPT, 제미나이, 네이버에 내 콘텐츠가 1순위로 선택된다! 국내 최초 AIEO 실무서",이중대,이지스퍼블리싱,19000,17100,4878,12,10.0,2026-04-29 14:49:30
누구나 쉽게 시작하는 방구석 1인 앱 창업,AI와 함께하는 앱 기획부터 애드몹 수익화까지 돈 버는 앱 만들기,김건희,제이펍,28000,25200,3267,5,10.0,2026-04-29 14:49:30
누구나 아는 나만 모르는 챗GPT(개정판) : 세상에서 가장 쉬운 챗GPT & AI 입문서,"ChatGPT, 챗GPT-이미지, 제미나이, 나노바나나 프로, 노트북LM, Sora 2, Suno, 감마, 냅킨",이성원,한빛미디어,19000,17100,4887,34,9.6,2026-04-29 14:49:30
혼자 공부하는 머신러닝+딥러닝,케라스와 파이토치로 1:1 과외하듯 배우는 인공지능 자습서,박해선,한빛미디어,32000,28800,18444,145,9.7,2026-04-29 14:49:30
된다! 조회수 터지는 유튜브 쇼츠 만들기,구독자 없어도 알고리즘 탄다! AI로 영상 빠르게 만들어 수익화까지!,최지영,이지스퍼블리싱,22000,19800,33228,61,9.9,2026-04-29 14:49:30
소프트웨어 테스트 전문가(CSTS) 가이드,,한국정보통신기술협회(TTA),홍릉,33000,31350,7929,6,8.0,2026-04-29 14:49:30
에이전트 시대의 AI 시스템 설계,"RAG, 최적화, 가드레일로 완성하는 32가지 프로덕션 패턴",발리아파 락슈마난,한빛미디어,42000,37800,1044,0,0.0,2026-04-29 14:49:30
모두의 노션 AI,초보자도 바로 써먹는 노션 입문서,임대균,생능북스,16800,15120,2355,51,9.8,2026-04-29 14:49:30
된다! 캡컷 영상 편집,"긴 유튜브 영상도 쇼츠·릴스도 OK! 크로마키, 자동 자막부터 AI 더빙까지 64개 예제로 전문 편집 기법 완전 정복!",지민이,이지스퍼블리싱,22000,19800,1140,0,0.0,2026-04-29 14:49:30
대체불가 AI 영상 제작 완전정복,챗GPT로 기획하고 제너레이티드 포토스·아트브리더·구글 베오·나노 바나나(Flash 2.5)·미드저니·프리픽·시드림·수노 AI·일레븐랩스·클링AI·런웨이·피카·소라2·컴피UI·캡컷 AI로 완성하기,이용태,책바세,29000,26100,9246,14,9.7,2026-04-29 14:49:30
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","음악 장르별 특징 파악부터 가사, 광고, 영화, 대중음악 생성을 위한 프롬프트 실습까지!",현병욱(오땡큐),시프트,20000,18000,19686,30,9.7,2026-04-29 14:49:30
바로바로 바이브 코딩 with 커서 AI,"인공지능, 자동화, 크롤링, 웹페이지, 바로 배우고 바로 써먹는 AI 코딩 입문서",박현규,골든래빗,30000,27000,4536,10,10.0,2026-04-29 14:49:30
AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,한 권으로 끝내는 AI 터미널 도구 3대장 바이브 코딩,Dave Lee,길벗,32000,28800,7266,24,9.6,2026-04-29 14:49:30
돈이 되네? 수익과 성장이 동시에 터지는 네이버 블로그,"N잡러, 경단녀, 육아맘을 위한 체험단, 애드포스트, 원고료, 브랜드 협업, 제휴마케팅, 쇼핑 커넥트까지 1일 1포스팅 꾸준함으로 완성하는 실전 수익화 비법",정소희,골든래빗,25800,23220,2532,8,10.0,2026-04-29 14:49:30
AI 시대 서·논술형 평가 설계 바이블,현직 수석교사와 교사가 들려주는 새로운 시대의 평가 이야기,조현준,에듀니티교육연구소(에듀니티),22000,19800,4377,9,10.0,2026-04-29 14:49:30
이게 되네? AI 쇼츠 만들기 미친 자동화 22제,"인공지능으로 쇼츠와 릴스를 자동 제작한다! 콘텐츠 수집부터 스크립트 작성, 영상 제작, 유튜브와 인스타그램 자동 업로드까지 코딩 모르는 초보자도 숏폼으로 수익 창출하는 법",천은영,골든래빗,26000,23400,8352,10,10.0,2026-04-29 14:49:30
Do it! LLM을 활용한 AI 에이전트 개발 입문,GPT API+딥시크+라마+랭체인+랭그래프+RAG,이성용,이지스퍼블리싱,35000,31500,20346,21,9.7,2026-04-29 14:49:30
"누구나 코딩하는 시대, 1일 10분 바이브 코딩","로또 번호 생성부터 주가 모니터링, 뉴스레터 자동 발행까지. 깃허브 코파일럿과 대화하며 만드는 나만의 자동화 프로그램",김영욱,한빛미디어,22000,19800,1020,1,10.0,2026-04-29 14:49:30
된다! AI 디자인 2026,나노 바나나 + 미드저니 + 포토샵 AI,김희재,이지스퍼블리싱,29800,26820,2166,2,10.0,2026-04-29 14:49:30
프로 일잘러의 AI 실무 바이블,프로 일잘러로 성장하는 AI 활용의 모든 것,양일동,교육과학사,34000,34000,1680,21,10.0,2026-04-29 14:49:30
AI 교양서 : 인간은 어떻게 인공지능을 진화시키는가,"베라 루빈, 젠슨 황 스토리부터 양자 컴퓨팅, 피지컬 AI, 헬스케어 AI, 중국 6대 AI 호랑이들까지",이영호,비제이퍼블릭(BJ퍼블릭),27000,24300,1545,8,10.0,2026-04-29 14:49:30
제미나이로 구글·이미지·영상·자동화 진짜 잘함,"구글 AI 생태계의 끝판왕, 제미나이 with 나노바나나 2, 비오 3.1, 노트북LM",이호정,리코멘드,18800,16920,3147,20,10.0,2026-04-29 14:49:30
회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글,"챗GPT&AI 활용, 모든 버전 사용 가능",전미진,한빛미디어,27000,24300,13143,42,9.6,2026-04-29 14:49:30
새나곰의 똥손도 바로 시작하는 인스타툰 그리기 with 클립 스튜디오,인스타툰 채널을 키우고 수익화하는 실전 노하우부터 완성이 빨라지는 클립 스튜디오 활용 꿀팁까지!,새나곰(정은아),한빛미디어,23000,20700,1530,17,10.0,2026-04-29 14:49:31
된다! 조회수 터지는 인스타그램 릴스 만들기,3초 후킹 전략부터 알고리즘의 비밀까지! AI로 빠르게 기획해서 수익화하자!,최지영,이지스퍼블리싱,21000,18900,3720,72,9.9,2026-04-29 14:49:31
맛있는 디자인 피그마 with AI,디자인 시스템을 완성하는 UI/UX 실전 레시피,이영주,한빛미디어,28000,25200,2085,124,9.9,2026-04-29 14:49:31
맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2026,"동영상 편집부터 모션 그래픽, AI 기능까지 제대로 써먹는 그래픽 입문서",심수진,한빛미디어,27000,24300,3732,121,9.9,2026-04-29 14:49:31
맛있는 디자인 포토샵&일러스트레이터 CC 2026,누구나 쉽게 배우고 AI 기능까지 제대로 써먹는 그래픽 입문서,박정아,한빛미디어,26000,23400,6102,138,10.0,2026-04-29 14:49:31
3줄의 글로 수익을 만드는 스레드 운영법,스레드 브랜딩·마케팅·수익화 실전 전략,이동영,한빛미디어,20000,18000,10458,37,9.6,2026-04-29 14:49:31
요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,"인공지능 코딩, 랜딩 페이지, 바탕화면 정리 앱, PDF 편집기, 이메일 자동화, 주식 크롤링, QR 코드 생성기, GPT 블로그 생성기",박현규,골든래빗,24000,21600,15195,84,9.9,2026-04-29 14:49:31
n8n이 다 해줌,뉴스 요약부터 투자 리포트까지 코드 없이 만드는 AI 자동화 워크플로우,이인영,한빛미디어,28000,25200,1623,2,10.0,2026-04-29 14:49:31
캔바 AI,매일매일 쓰는 모두의 AI,신승희,생능북스,24000,21600,4023,61,9.9,2026-04-29 14:49:31
AI 프로덕트는 어떻게 만들어지는가,"AX 시대, PM·디자이너·리서처·개발자가 반드시 알아야 할 AI 프로덕트의 모든 단계",류인태,한빛미디어,25000,22500,2364,4,10.0,2026-04-29 14:49:31
된다! 하루 만에 끝내는 챗GPT 활용법,인공지능에게 일 시키고 시간 버는 법,프롬프트 크리에이터,이지스퍼블리싱,20000,18000,34425,98,9.4,2026-04-29 14:49:31
구글 시트로 스마트한 학교 만들기 : 교사를 위한 스프레드시트 활용 가이드,실전기초/행정업무/일정관리/담임업무/학급운영/교수평기,지미정,앤써북,24400,21960,20112,17,9.9,2026-04-29 14:49:31
이게 되네? 챗GPT 미친 활용법 71제,"7배 더 빠르게, 7배 나은 퀄리티로 진짜 현업에 사용해온 일잘러 오대리의 ‘71가지 미친 업무 자동화’ with o3, 소라, 딥리서치, 프로젝트, 고급 음성모드, GPTs",오힘찬,골든래빗,24000,21600,35361,259,9.6,2026-04-29 14:49:31
가상 면접 사례로 배우는 대규모 시스템 설계 기초,,알렉스 쉬,인사이트(insight),24000,21600,7371,60,9.4,2026-04-29 14:49:31
비전공자를 위한 이해할 수 있는 IT 지식,IT시대의 필수 교양서,최원영,티더블유아이지,16800,15120,5520,170,8.8,2026-04-29 14:49:31
"AI시대, 스토리텔링의 재탄생","호모 프롬프트의 시대, 스토리텔링의 문법이 바뀐다!",김태원,파람북,19000,17100,1602,1,10.0,2026-04-29 14:49:31
맛있는 디자인 포토샵 CC 2026,"나노바나나, 파이어플라이 AI로 쉽게 만들고 포토샵으로 완성하는 디자인 기본서",윤이사라,한빛미디어,26000,23400,600,21,9.8,2026-04-29 14:49:31
퇴근이 빨라지는 제미나이 & 노트북LM 업무 자동화 정석 엑셀 X AI,,권현욱,디지털북스,22000,19800,666,1,10.0,2026-04-29 14:49:31
바이브 코딩 with 구글 안티그래비티,코드 한 줄 몰라도 내 손으로 만드는 12가지 웹/앱 서비스,노성환,영진닷컴,18000,16200,792,1,10.0,2026-04-29 14:49:31
선생님을 위한 노션,실전기초/수업활용/학생관리/업무관리/업무자동화/노션AI,임세범,앤써북,21800,19620,13233,18,9.9,2026-04-29 14:49:31
"하루 30분, 나는 제미나이로 돈을 번다",제미나이·Make·캔바·Opal: 아이디어가 돈이 되는 가장 완벽한 AI 워크플로,김민규,한빛미디어,19000,17100,2898,32,9.3,2026-04-29 14:49:31
안티그래비티 바이브 코딩 입문,10일간의 탄탄한 기능 구현과 4일 만에 마스터하는 프로의 기획과 설계 전략,박규하,로드북,25000,22500,2634,10,10.0,2026-04-29 14:49:31
"요즘 교사를 위한 체육 수업 에듀테크 활용법 : 요즘 체육 수업, 에듀테크로 설계하고 기록되고 성장으로 남는다!","체듀테크(체육+에듀테크), 체육수업설계, 학생성장기록, 시범부담해소, 교실/체육관 대안수업, 체육수업데이터화, 자기주도적 신체활동, AI기반체육수업",임우균,앤써북,16800,15120,1767,19,10.0,2026-04-29 14:49:31
"광고, UX/UI, 브랜딩에 바로 쓰는 디자인 심리 108","기획, 마케팅, 디자인 실무자가 꼭 알아야 할 고객의 마음 공식",321web(미쓰이 마사유키),시프트,18000,16200,4182,14,10.0,2026-04-29 14:49:31
